Pct Low Inc,Diesel Conc,"NPL Site Count, wt by dist",Pct pre1960 Housing
0.333846698,4.528065159,0.064729713,0.66323942
0.212190205,4.502931306,0.06249834,0.750818299
0.540096913,4.555282623,0.067939628,0.672105911
0.567873303,4.742521636,0.06620315,1
0.414962185,4.50433581,0.064730078,0.684806359
0.283822537,4.77724056,0.062288159,0.808721991
0.432085123,4.532846459,0.067158681,0.736615525
0.188837683,4.726796325,0.05970847,0.744457274
0.340916829,4.569209014,0.069332856,0.751820597
0.054912877,1.529665519,0.073076038,0.440660242
0.060694546,1.58332846,0.073159256,0.391245069
0.158186663,1.519800719,0.067248831,0.595940686
0.318474353,1.700519836,0.061464461,0.348354342
0.073147544,4.516200713,0.068041083,0.765938126
0.255525838,4.695553811,0.067099596,0.626967044
0.389659041,1.524057174,0.071434979,0.520451362
0.261574592,1.607481107,0.064819158,0.150511805
0.137011417,1.455563837,0.065158751,0.47718356
0.127693767,1.41539057,0.063317426,0.280665418
0.168490266,1.64721292,0.061825437,0.486531737
0.221751204,4.648632368,0.059407892,0.849167289
0.121880287,4.636562591,0.058847244,0.879851343
0.246520907,4.614486318,0.057798233,0.709336424
0.29130803,4.599794221,0.057152504,0.606407323
0.32183908,1.197307004,0.055974244,0.5
0.105810748,4.290566854,0.056658658,0.72780606
0.440867707,4.608739912,0.059544199,0.640546318
0.202093977,4.587192017,0.058291219,0.687483387
0.563639285,4.61694471,0.061233249,0.744520118
0.450571657,4.630222456,0.062262551,0.693756877
0.400294585,1.693126332,0.064112483,0.511061567
0.520030823,1.604921025,0.062733034,0.493909556
0.398843931,4.742379151,0.06548556,0.635814889
0.204777632,4.448532472,0.062723052,0.832127984
0.63542715,4.559188438,0.061225259,0.657793752
0.103008496,4.268071303,0.05488215,0.629952156
0.497063509,4.553832261,0.059739035,0.666834113
0.393802251,4.549161177,0.059250851,0.702379158
0.503949568,1.545346288,0.057921793,0.539964845
0.345074224,4.209262945,0.053964643,0.68197951
0.42471438,1.541936653,0.057358221,0.578583535
0.160168996,1.290095665,0.05617509,0.407498677
0.304654671,4.534926711,0.055758356,0.74072109
0.333978381,4.564771802,0.055705003,0.785025516
0.252922673,4.439364229,0.060272536,0.673381839
0.201431923,4.622797929,0.05811212,0.660245028
0.305627317,1.566647822,0.055340456,0.595114376
0.594043023,1.906267951,0.077563899,0.530259366
0.272388741,4.610152836,0.057383424,0.830651258
0.759078379,1.88725898,0.074320986,0.433747736
0.693452741,1.890967987,0.075082608,0.364999101
0.294557803,4.521867593,0.054014795,0.842012732
0.702703465,1.901141528,0.076929924,0.269058518
0.706627527,4.922552058,0.079182414,0.601316916
0.754792261,1.936797539,0.081113161,0.461441008
0.345554857,1.505932438,0.055256015,0.596644333
0.742821058,1.951029422,0.081081676,0.560805629
0.459665715,4.962227766,0.082882571,0.672526493
0.184975867,4.517999619,0.056622422,0.630086642
0.652704646,1.909879189,0.07710013,0.479978451
0.275866776,4.518187889,0.057861402,0.608894482
0.70424983,4.927531855,0.078252764,0.69871296
0.695937665,4.51876374,0.058299099,0.698181944
0.82523121,1.941744015,0.079233702,0.537694818
0.434329837,4.521712489,0.059472948,0.733091313
0.528917585,1.49195634,0.05707539,0.593493271
0.761571577,5.139321973,0.081936999,0.650109705
0.564971073,1.496983287,0.05599862,0.459958072
0.56578657,5.273945608,0.08223438,0.892187596
0.455522535,4.49535093,0.054259184,0.761987933
0.678627656,5.178430829,0.078458067,0.933577655
0.725941529,4.991477125,0.076989411,0.616407065
0.71050456,4.908475166,0.075983067,0.7742437
0.371173028,1.489564666,0.05266688,0.461073126
0.690948469,4.86842682,0.07372043,0.837329767
0.378624105,4.485103078,0.053865456,0.689784671
